| 20.02.2026 | Einführung: Digitale Nachhaltigkeit & Green IT |
| 27.02.2026 | Open Source Software: Philosophie, Lizenzen & Praxis |
| 06.03.2026 | Digitale Nachhaltigkeit: Fallstudien |
| 13.03.2026 | ***LEISTUNGSNACHWEIS 1*** Textabgabe |
| 20.03.2026 | SQL Vertiefung: Aggregatfunktionen & GROUP BY |
| 27.03.2026 | SQL Vertiefung: Subqueries |
| 10.04.2026 | SQL DML: INSERT, UPDATE, DELETE |
| 17.04.2026 | Datenbankdesign: Normalisierung (1NF-3NF) |
| 08.05.2026 | Datenbank-Miniprojekt |
| 22.05.2026 | Repetition: SQL & Datenbanken |
| 29.05.2026 | ***LEISTUNGSNACHWEIS 2*** Schriftliche Prüfung |
| 05.06.2026 | Informationssicherheit |
| 12.06.2026 | Datenschutz: DSGVO & DSG Schweiz |
| 19.06.2026 | KI-Vertiefung: Ethik & aktuelle Entwicklungen |
| 26.06.2026 | Projekt: Datenethik-Fallstudie |
| 03.07.2026 | Projektpräsentationen |
| 10.07.2026 | Semesterabschluss & Ausblick |
